FP_type,split_type,type,num_of_compounds,rmse,r2,mae,seed
MACCS,random,tr,1513,0.3888037494105684,0.9175920117582289,0.22905092701045837,0
MACCS,random,va,1513,0.6248654594105479,0.7491494339761844,0.4760689817237001,0
MACCS,random,te,1513,0.8795926472060113,0.552782881782008,0.6468887916539225,0
MACCS,random,tr,1513,0.38927986664421144,0.9150952300489597,0.23107828561843746,1
MACCS,random,va,1513,0.8057147897824887,0.6609214345450389,0.5802650134996084,1
MACCS,random,te,1513,0.689171953499335,0.7377591654481869,0.475270382878053,1
MACCS,random,tr,1513,0.3924906906168978,0.9144950648332659,0.2327584245990908,2
MACCS,random,va,1513,0.7938982731490725,0.658385323568516,0.5805522073892336,2
MACCS,random,te,1513,0.6644716062492417,0.7468971825806617,0.5050526851493832,2
MACCS,random,tr,1513,0.39603917964808005,0.913024201942281,0.2373708502957489,3
MACCS,random,va,1513,0.724401463420192,0.6778892170026313,0.5132932656291221,3
MACCS,random,te,1513,0.7748075398607582,0.692347749705538,0.5700745051060101,3
MACCS,random,tr,1513,0.38303344826558,0.9189310425245505,0.23004179452536716,4
MACCS,random,va,1513,0.6625983303623264,0.7773950982149342,0.5028863085248779,4
MACCS,random,te,1513,0.7921540132682061,0.5893431060014496,0.5802524725682033,4
MACCS,random,tr,1513,0.3817871596339705,0.9185221584786625,0.22864955553492014,5
MACCS,random,va,1513,0.8105112960213594,0.6742802270971588,0.5842849752317758,5
MACCS,random,te,1513,0.7545390769144019,0.6521922250480996,0.569749425458476,5
MACCS,random,tr,1513,0.38252659892421265,0.9172707901956788,0.22899439825716936,6
MACCS,random,va,1513,0.8264554325538714,0.6402419726549813,0.5546428414573794,6
MACCS,random,te,1513,0.696465409008114,0.7510875703122568,0.5165834605520331,6
MACCS,random,tr,1513,0.3835942504102606,0.9190030542174571,0.23107448729517077,7
MACCS,random,va,1513,0.8031356647262845,0.6036897544626243,0.6394125066340015,7
MACCS,random,te,1513,0.6878485931729602,0.7418057490485447,0.4809679739612558,7
MACCS,random,tr,1513,0.3937884723476155,0.9136417009494364,0.2377692858877329,8
MACCS,random,va,1513,0.8017353585924959,0.6574143706554156,0.5671558836996095,8
MACCS,random,te,1513,0.7208617121590108,0.7043824587645084,0.5366781285832743,8
MACCS,random,tr,1513,0.38643229474623275,0.9150936628669176,0.22663290062610866,9
MACCS,random,va,1513,0.7501906700060516,0.7117075103190429,0.5498965543627345,9
MACCS,random,te,1513,0.8296556065684454,0.652534862790274,0.61106266840797,9
